report_link,report_url,Marketedproduction,Dryproduction,NetCanadaimports,LNGpipelinedeliveries,Totalsupply,U.S. natural gas consumption - Gas Week,start,end,U.S.consumption,Power,Industrial,Residential/commercial,Mexicoexports,Pipelinefueluse/losses,LNGpipelinereceipts,Totaldemand
Lownaturalgasstoragestockscontributetorecentnaturalgasfuturespricevolatility,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2018/12_20/,97.5,87.2,4.6,0.2,92.0, (12/13/18 - 12/19/18), 12/13/18 , 12/19/18,80.3,22.3,23.6,34.3,4.5,6.9,4.2,96.0
MexicosEnergyRegulatoryCommissionpublishesregionalnaturalgaspricesforthefirsttime,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2018/04_05/,89.8,79.6,6.1,0.1,85.8, (3/29/18 - 4/4/18), 3/29/18 , 4/4/18,69.6,22.8,21.5,25.3,4.0,6.7,3.6,83.9
RecordOhiogasproductionspursnewnaturalgasprocessingandgenerationfacilities,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2018/01_25/,86.0,76.7,6.0,0.3,83.0, (1/18/18 - 1/24/18), 1/18/18 , 1/24/18,83.6,23.1,22.8,37.7,4.3,6.5,2.0,96.4
GlobalLNGtradeincreasesbyarecord10%in2017,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2018/05_03/,90.4,80.0,5.9,0.1,85.9, (4/26/18 - 5/2/18), 4/26/18 , 5/2/18,57.8,23.3,20.4,14.1,4.3,6.1,3.8,71.9
TwoliquefiednaturalgasstoragetanksareremovedfromserviceattheSabinePassLiquefactionTerminal,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2018/02_22/,87.6,78.0,5.4,0.3,83.8, (2/15/18 - 2/21/18), 2/15/18 , 2/21/18,74.8,22.9,21.9,30.1,4.3,5.9,2.1,87.1
"FERCauthorizesRoverPipeline,LLCtoplaceadditionalfacilitiespartiallyinservice",https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2018/04_26/,90.7,80.1,5.8,0.1,86.0, (4/19/18 - 4/25/18), 4/19/18 , 4/25/18,63.7,23.7,20.8,19.1,4.3,6.6,3.4,77.9
Naturalgasstocksendheatingseasonatthelowestlevelsince2014,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2018/04_12/,90.8,80.1,6.2,0.1,86.4, (4/5/18 - 4/11/18), 4/5/18 , 4/11/18,74.4,23.7,21.9,28.8,4.5,7.7,3.5,90.1
ReducednaturalgasinfrastructurecapacitymayposesummerenergyreliabilitychallengesinSouthernCalifornia,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2018/05_17/,89.8,79.5,6.1,0.1,85.6, (5/10/18 - 5/16/18), 5/10/18 , 5/16/18,57.5,28.6,19.9,9.1,4.4,6.5,3.5,72.0
NaturalgassoldatnegativepricesonTransCanadasAlbertaSystem,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2018/05_10/,90.1,79.9,6.0,0.1,85.9, (5/3/18 - 5/9/18), 5/3/18 , 5/9/18,55.3,26.6,19.9,8.9,4.4,6.2,3.3,69.3
LongerwelllaterallengthsandhigherproductivityincreaseUticanaturalgasproductionevenasrigcountfluctuates,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2018/05_24/,90.0,79.7,6.3,0.1,86.0, (5/17/18 - 5/23/18), 5/17/18 , 5/23/18,56.7,27.9,19.9,8.9,4.3,6.4,2.8,70.2
Naturalgassupplyandconsumptiongrowsignificantlyfromthefirsthalfof2017tothefirsthalfof2018,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2018/06_28/,91.2,80.9,5.8,0.1,86.7, (6/21/18 - 6/27/18), 6/21/18 , 6/27/18,60.5,32.2,19.6,8.8,4.3,6.7,3.6,75.1
U.S.naturalgasexportsexperiencesignificantyear-over-yeargrowth,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2018/06_07/,89.7,79.5,5.7,0.1,85.3, (5/31/18 - 6/6/18), 5/31/18 , 6/6/18,57.8,29.5,19.7,8.5,4.4,6.4,2.7,71.3
ExplosionshutsdowntheLeachXPresspipeline,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2018/06_14/,90.0,79.8,5.6,0.0,85.4, (6/7/18 - 6/13/18), 6/7/18 , 6/13/18,57.3,29.6,19.6,8.1,4.4,6.4,2.9,71.0
Appalachiapricesincreaseasnewtakeawaycapacitysupportshigherproduction,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2018/06_21/,90.2,80.1,6.0,0.1,86.1, (6/14/18 - 6/20/18), 6/14/18 , 6/20/18,59.9,33.2,19.4,7.2,4.4,6.6,3.3,74.3
"BangladeshbeginsLNGimports,sixmorecountriestofollow",https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2018/05_31/,90.5,80.2,6.4,0.1,86.6, (5/24/18 - 5/30/18), 5/24/18 , 5/30/18,56.7,29.9,19.6,7.2,4.4,6.4,2.8,70.2
ExelontopurchaseEverettLNGterminaltoensuresupplytoMysticGeneratingStation,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2018/04_19/,90.1,79.6,5.7,0.1,85.3, (4/12/18 - 4/18/18), 4/12/18 , 4/18/18,67.7,24.1,21.2,22.3,4.2,7.0,3.4,82.3
"SouthernCaliforniafacesrecordnaturalgaspricesandvoluntarycurtailmentsamidhotweather,systemconstraints",https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2018/07_26/,91.9,81.0,5.8,0.1,86.9, (7/19/18 - 7/25/18), 7/19/18 , 7/25/18,64.2,36.7,19.9,7.6,4.4,6.9,3.2,78.8
TwomorepipelinestransportingU.S.naturalgaswithinMexicoareplacedinservice,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2018/07_12/,92.1,81.1,6.0,0.1,87.1,, 7/5/18 , 7/11/18,,,,,,,,
End-of-seasonnaturalgasstorageinventoriesareforecasttobethelowestsince2008,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2018/07_19/,91.2,80.4,6.1,0.1,86.6, (7/12/18 - 7/18/18), 7/12/18 , 7/18/18,65.3,39.0,19.7,6.7,4.4,7.0,3.3,80.0
OngoingpipelinemaintenancelimitsSoCalGassabilitytoimportnaturalgasintoSouthernCalifornia,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2018/08_16/,92.6,82.0,5.3,0.1,87.3, (8/9/18 - 8/15/18), 8/9/18 , 8/15/18,62.7,36.0,19.7,6.9,4.7,6.7,3.5,77.6
Julyapproachesrecordmonthlynaturalgasuseforpowergeneration,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2018/08_02/,91.9,81.1,5.6,0.1,86.7, (7/26/18 - 8/1/18), 7/26/18 , 8/1/18,63.5,35.4,19.9,8.2,4.7,6.8,3.5,78.5
NewYorkutilitygetsapprovalfornaturalgasdemandresponsepilotprogram,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2018/08_23/,93.4,82.6,5.1,0.1,87.8, (8/16/18 - 8/22/18), 8/16/18 , 8/22/18,62.3,35.0,19.8,7.5,4.7,6.7,3.3,77.0
Theethanepricepremiumtonaturalgashasnearlytripledoverthepastthreemonths,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2018/08_30/,93.3,82.7,5.4,0.1,88.2, (8/23/18 - 8/29/18), 8/23/18 , 8/29/18,62.3,35.0,19.8,7.5,4.6,6.7,3.1,76.7
HurricaneFlorenceaffectsnaturalgasdemandforelectricityintheCarolinas,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2018/09_20/,95.5,83.9,5.0,0.1,88.9, (9/13/18 - 9/19/18), 9/13/18 , 9/19/18,63.0,35.6,19.5,8.0,4.7,7.0,3.1,77.9
EIAintroducesinteractivedashboarddetailingnaturalgasstorageactivity,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2018/09_13/,94.6,83.2,4.5,0.1,87.8, (9/6/18 - 9/12/18), 9/6/18 , 9/12/18,60.1,31.2,19.8,9.1,4.4,6.7,3.3,74.5
LNGCanadabecomesfirstmajorliquefactionexportprojectinCanadatoreachFinalInvestmentDecision,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2018/10_11/,96.4,85.9,5.1,0.1,91.1, (10/4/18 - 10/10/18), 10/4/18 , 10/10/18,63.8,30.9,21.0,11.8,4.7,7.0,2.7,78.2
GovernmentofTrinidadandTobagosecuresadditionalupstreamsupplyfortheAtlanticLNGproject,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2018/09_06/,93.6,82.8,5.0,0.1,87.9, (8/30/18 - 9/5/18), 8/30/18 , 9/5/18,60.9,34.0,19.7,7.2,4.7,6.7,3.2,75.5
Growthinethaneproductionisunevenasaresultofregionalinfrastructureandpricedifferences,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2018/10_04/,95.8,84.2,5.0,0.1,89.3, (9/27/18 - 10/3/18), 9/27/18 , 10/3/18,61.1,30.2,20.0,10.9,4.8,6.7,2.9,75.5
Renewablessurpassnaturalgasastheprimaryelectricity-generatingsourceinMaine,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2018/09_27/,96.0,84.4,4.8,0.1,89.2, (9/20/18 - 9/26/18), 9/20/18 , 9/26/18,61.5,31.9,19.8,9.8,4.7,6.8,3.0,76.0
TwonewlargepipelinesplacedintoserviceinOctoberareincreasingNortheasttakeawaycapacity,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2018/10_18/,96.1,85.5,4.4,0.1,90.0, (10/11/18 - 10/17/18), 10/11/18 , 10/17/18,67.8,25.4,22.1,20.4,4.7,7.4,3.2,83.1
Haynesvillenaturalgasproductionreachesfive-yearhigh,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2018/08_09/,92.3,81.4,5.6,0.1,87.1, (8/2/18 - 8/8/18), 8/2/18 , 8/8/18,64.4,37.5,19.8,7.1,4.9,6.9,3.3,79.4
"PipelineexplosioninCanadaleadstolowerU.S.naturalgasimports,higherregionalprices",https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2018/10_25/,97.2,86.5,4.4,0.1,91.0, (10/18/18 - 10/24/18), 10/18/18 , 10/24/18,68.5,23.9,22.4,22.2,4.9,7.5,3.7,84.6
January2019Nymexpricesremainclosetospotpricesthroughoutthe2018injectionseason,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2018/11_15/,96.9,87.0,4.2,0.1,91.3, (11/8/18 - 11/14/18), 11/8/18 , 11/14/18,86.5,25.5,24.2,36.8,4.6,8.2,4.3,103.5
NewGulfofMexicoprojectsexpectedtoreversenaturalgasproductiondeclines,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2018/11_01/,98.0,87.3,3.7,0.1,91.1, (10/25/18 - 10/31/18), 10/25/18 , 10/31/18,67.7,23.3,22.5,21.9,4.8,7.4,3.8,83.7
MexicosnaturalgasproductiondeclinesasimportsfromtheUnitedStatesincrease,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2018/11_29/,98.8,88.5,4.4,0.1,92.9,, 11/22/18 , 11/28/18,,,,,,,,
"Chinabecomesworldslargestnaturalgasimporter,overtakingJapan",https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2018/12_06/,99.1,88.7,3.9,0.1,92.7, (11/29/18 - 12/5/18), 11/29/18 , 12/5/18,83.1,23.1,23.7,36.3,4.4,7.4,4.4,99.3
"InEurope,utilitieslooktorepurposetheirassetsinalow-carbonfuture",https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2018/12_13/,97.9,87.6,4.8,0.2,92.6, (12/6/18 - 12/12/18), 12/6/18 , 12/12/18,95.2,25.0,24.5,45.6,4.6,8.2,4.6,112.6
Naturalgasstocksendrefillseasonlowerthanthefive-yearminimuminallregions,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2018/11_08/,97.6,87.5,3.5,0.1,91.1, (11/1/18 - 11/7/18), 11/1/18 , 11/7/18,67.9,21.9,22.5,23.4,4.7,6.4,4.0,83.0
