report_link,report_url,Marketedproduction,Dryproduction,NetCanadaimports,LNGpipelinedeliveries,Totalsupply,U.S. natural gas consumption - Gas Week,start,end,U.S.consumption,Power,Industrial,Residential/commercial,Mexicoexports,Pipelinefueluse/losses,LNGpipelinereceipts,Totaldemand
Naturalgas-firedgenerationreturnstopre-OctoberlevelsinPJMandMISO,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2019/11_21/,108.4,95.6,4.4,0.1,100.2, (11/14/19 - 11/20/19), 11/14/19 , 11/20/19,84.7,26.1,22.1,36.5,5.3,7.0,7.2,104.2
"FollowingHurricaneMariain2017,PuertoRicosLNGimportsreturntopreviouslevelsinthesecondquarterof2018",https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2019/03_07/,99.1,88.2,5.5,0.2,93.9, (2/28/19 - 3/6/19), 2/28/19 , 3/6/19,100.2,26.5,24.2,49.5,4.7,7.1,5.1,117.1
Newmethanolplantsexpectedtoboostindustrialnaturalgasusagein201920,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2019/01_24/,98.2,87.4,5.7,0.6,93.7, (1/17/19 - 1/23/19), 1/17/19 , 1/23/19,101.0,25.3,25.2,50.5,4.8,7.9,3.8,117.5
BahrainisontracktobeginLNGimportsthisspring,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2019/02_21/,99.3,88.5,4.6,0.4,93.4, (2/14/19 - 2/20/19), 2/14/19 , 2/20/19,92.7,25.2,23.5,44.0,4.6,6.9,4.8,109.0
Polarvortexbreaksrecordsinnaturalgasconsumption,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2019/02_07/,98.3,87.4,4.7,0.4,92.5, (1/31/19 - 2/6/19), 1/31/19 , 2/6/19,89.7,23.6,23.0,43.0,4.8,6.7,2.8,104.0
SouthernCalifornianaturalgasinventoriesdecreasesignificantlyduringcolder-than-normalFebruary,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2019/02_28/,99.8,88.8,4.7,0.2,93.7, (2/21/19 - 2/27/19), 2/21/19 , 2/27/19,90.1,24.4,23.2,42.6,4.8,6.8,5.2,106.9
Naturalgasconsumptionintheelectricsectorreacheshighest-everlevelin2018,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2019/03_21/,99.2,88.3,5.1,0.1,93.5, (3/14/19 - 3/20/19), 3/14/19 , 3/20/19,74.8,22.5,22.0,30.3,4.6,6.3,5.5,91.3
"U.S.LNGexportsincreasethiswinter,astwonewtrainsareplacedinservice",https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2019/01_17/,98.4,88.0,6.0,0.4,94.4, (1/10/19 - 1/16/19), 1/10/19 , 1/16/19,97.2,25.3,25.0,46.9,4.7,7.6,4.8,114.4
"Asenergymarketsareshowingmorelove,ethaneisfeelinglessrejected:ethanepricesincreaseasmarketexpands",https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2019/02_14/,98.6,87.8,4.5,0.3,92.6, (2/7/19 - 2/13/19), 2/7/19 , 2/13/19,94.8,26.3,23.6,44.9,4.8,6.9,4.0,110.5
NaturalgaspipelineprojectswouldexpandcapacityintoNewYorkCity,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2019/05_02/,100.5,89.6,4.7,0.1,94.3, (4/25/19 - 5/1/19), 4/25/19 , 5/1/19,61.7,23.3,20.5,17.8,4.6,6.0,5.1,77.4
LiquefiednaturalgasimportsplayedakeyroleinreducingpricespikesinNewEnglandthiswinter,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2019/04_18/,100.0,89.4,5.1,0.1,94.5, (4/11/19 - 4/17/19), 4/11/19 , 4/17/19,62.8,22.2,20.7,19.9,4.5,6.0,4.8,78.1
UnitedStateshasbeenanetexporterofnaturalgasformorethan12consecutivemonths,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2019/04_04/,100.4,89.7,4.8,0.1,94.6, (3/28/19 - 4/3/19), 3/28/19 , 4/3/19,69.5,21.9,21.4,26.2,4.6,6.3,4.1,84.4
PacificNorthwestseeshighest-recordednaturalgasspotpricesintheUnitedStatessince2014,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2019/03_14/,99.3,88.3,4.9,0.1,93.4, (3/7/19 - 3/13/19), 3/7/19 , 3/13/19,81.1,22.4,22.3,36.4,4.7,6.5,5.2,97.5
U.S.LNGexportstoEuropeincreaseamiddecliningdemandandspotLNGpricesinAsia,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2019/06_06/,99.7,88.8,5.3,0.1,94.2, (5/30/19 - 6/5/19), 5/30/19 , 6/5/19,64.9,33.1,21.6,10.2,4.9,6.1,5.3,81.1
CriticalnoticeontheAlliancepipelinerearrangesflowsinMidwest,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2019/06_27/,100.4,89.6,4.6,0.1,94.2, (6/20/19 - 6/26/19), 6/20/19 , 6/26/19,67.0,36.6,20.9,9.5,5.2,6.2,5.8,84.1
AustraliaisontracktobecometheworldslargestLNGexporterin2019,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2019/07_18/,99.3,88.4,5.3,0.1,93.8, (7/11/19 - 7/17/19), 7/11/19 , 7/17/19,68.7,41.4,19.6,7.7,5.0,6.1,5.8,85.6
UnitedStatessetsnewdailyrecord-highforpowerburn,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2019/07_25/,100.1,89.5,5.1,0.1,94.7, (7/18/19 - 7/24/19), 7/18/19 , 7/24/19,68.3,40.3,20.5,7.5,4.9,6.2,6.1,85.4
RenewablenaturalgasdemandtoincreasewithUPSpurchaseagreement,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2019/07_11/,101.5,90.3,5.3,0.1,95.7,, 7/4/19 , 7/10/19,,,,,,,,
SempraEnergybeginsLNGproductionatits1.7Bcf/dCameronLNGexportfacility,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2019/05_23/,99.3,88.6,4.9,0.1,93.6, (5/16/19 - 5/22/19), 5/16/19 , 5/22/19,58.9,25.5,20.0,13.4,4.6,5.9,5.6,75.0
NaturalgasdeliveriestoU.S.LNGexportfacilitiessetarecordinJuly,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2019/08_01/,101.2,90.5,5.0,0.1,95.6, (7/25/19 - 7/31/19), 7/25/19 , 7/31/19,69.1,40.3,21.3,7.6,5.0,6.3,6.0,86.4
EIApublishestheU.S.LiquidsPipelinesProjectsDatabase,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2019/05_30/,100.4,89.5,4.9,0.1,94.5, (5/23/19 - 5/29/19), 5/23/19 , 5/29/19,62.2,29.9,21.1,11.2,4.8,6.0,5.8,78.8
Pennsylvaniaspowergenerationmixchangeswithnaturalgasproductiongrowth,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2019/05_16/,100.5,89.6,4.7,0.1,94.4, (5/9/19 - 5/15/19), 5/9/19 , 5/15/19,60.6,24.0,20.4,16.2,4.7,6.0,5.8,77.0
BigBendPowerStationtoincreaseFloridasnaturalgas-firedgenerationcapacity,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2019/08_08/,102.3,91.4,4.4,0.1,95.9, (8/1/19 - 8/7/19), 8/1/19 , 8/7/19,70.8,41.2,21.2,8.3,5.0,6.4,4.7,86.9
