report_link,report_url,Marketedproduction,Dryproduction,NetCanadaimports,LNGpipelinedeliveries,Totalsupply,U.S. natural gas consumption - Gas Week,start,end,U.S.consumption,Power,Industrial,Residential/commercial,Mexicoexports,Pipelinefueluse/losses,LNGpipelinereceipts,Totaldemand
Naturalgasproductionisatrecord-highlevelsdespitelowprices,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2019/08_15/,102.6,91.7,4.2,0.1,96.0, (8/8/19 - 8/14/19), 8/8/19 , 8/14/19,71.0,41.4,21.0,8.6,5.1,6.5,4.1,86.6
PermianBasinpricesupinrecentweeksastheGulfCoastExpressPipelinenearscompletion,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2019/08_22/,103.1,92.2,4.6,0.1,96.9, (8/15/19 - 8/21/19), 8/15/19 , 8/21/19,70.7,40.8,21.2,8.7,5.1,6.5,4.8,87.1
MildweatherandrecordU.S.naturalgasproductionkeeppriceslowdespitelowstoragelevelsandhighexports,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2019/06_13/,99.4,88.6,5.1,0.1,93.8, (6/6/19 - 6/12/19), 6/6/19 , 6/12/19,65.6,34.4,21.3,9.9,5.0,6.1,5.3,82.0
U.S.naturalgasplantliquidsproductionhitsnewrecordinFebruary,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2019/05_09/,100.2,89.4,5.0,0.1,94.4, (5/2/19 - 5/8/19), 5/2/19 , 5/8/19,59.9,24.7,20.2,15.0,4.6,5.9,5.5,76.0
Naturalgasstocksendheatingseasonatthelowestlevelsince2014,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2019/04_11/,99.5,88.9,5.0,0.1,93.9, (4/4/19 - 4/10/19), 4/4/19 , 4/10/19,62.7,22.8,20.4,19.5,4.7,6.0,3.2,76.5
FreeportLNGbecomesthefifthexportterminalinLower48statestobeginoperations,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2019/09_12/,103.6,92.0,4.5,0.1,96.5, (9/5/19 - 9/11/19), 9/5/19 , 9/11/19,67.8,37.5,21.5,8.9,5.1,6.4,5.8,85.1
Chinaintroducesnewincentivesfordomesticproductionoftightandshalegasandcoalbedmethane,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2019/09_19/,103.0,91.6,4.6,0.1,96.2, (9/12/19 - 9/18/19), 9/12/19 , 9/18/19,65.3,35.4,21.2,8.7,5.0,6.3,6.5,83.2
Illinoispowergenerationfuelmixchangeswithcoalretirementsandnaturalgasandrenewableadditions,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2019/09_05/,103.9,92.5,4.2,0.1,96.7, (8/29/19 - 9/4/19), 8/29/19 , 9/4/19,66.7,36.3,21.4,9.0,5.2,6.4,6.3,84.5
LownaturalgasspotpricesinNortheastdriveadditionalflowsoutoftheregion,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2019/09_26/,105.1,93.1,4.3,0.1,97.5, (9/19/19 - 9/25/19), 9/19/19 , 9/25/19,63.6,33.2,21.1,9.3,5.3,6.3,6.1,81.3
Corncropmaturitysuggestslateharvestandhighheatingfueldemandthiswinter,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2019/08_29/,103.6,92.3,4.0,0.1,96.3, (8/22/19 - 8/28/19), 8/22/19 , 8/28/19,67.5,37.1,21.7,8.7,5.1,6.4,6.4,85.4
EIAsWinterFuelsOutlookforecastslowernaturalgasexpendituresforhouseholdsthanlastwinter,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2019/10_10/,105.6,93.5,4.5,0.1,98.1, (10/3/19 - 10/9/19), 10/3/19 , 10/9/19,63.7,32.4,21.1,10.3,5.4,6.3,6.1,81.5
Naturalgasinventoriessurpassfive-yearaverageforthefirsttimeintwoyears,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2019/10_24/,107.5,94.8,4.1,0.1,99.0, (10/17/19 - 10/23/19), 10/17/19 , 10/23/19,64.4,30.6,20.4,13.3,5.3,6.4,6.9,82.9
"ElbaIsland,thesixthU.S.LNGexportterminal,beginscommercialoperations",https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2019/10_17/,106.3,94.0,4.2,0.1,98.3, (10/10/19 - 10/16/19), 10/10/19 , 10/16/19,63.3,30.0,20.6,12.6,5.3,6.4,6.6,81.5
PetronetandTellurianexplorepartnershipinproposedDriftwoodLNGfacility,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2019/10_03/,106.3,94.0,4.6,0.1,98.6, (9/26/19 - 10/2/19), 9/26/19 , 10/2/19,65.6,33.2,21.3,11.0,5.4,6.4,6.3,83.8
Netinjectionspostsecond-largestrefillseasononrecord;workinggasstocksendrefillseasonhigherthanthefive-yearaverage,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2019/11_07/,107.4,94.9,4.5,0.1,99.5, (10/31/19 - 11/6/19), 10/31/19 , 11/6/19,74.1,26.2,21.3,26.6,5.2,6.7,7.3,93.4
Futurespricessignalcheapermid-winternaturalgasinmostregionsin2020,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2019/10_31/,107.5,94.8,4.3,0.1,99.1, (10/24/19 - 10/30/19), 10/24/19 , 10/30/19,65.4,30.2,21.1,14.1,5.3,6.4,7.1,84.3
EIAupdatesheatcontentvaluesforhydrocarbongasliquids,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2019/11_14/,107.6,95.0,5.4,0.2,100.6, (11/7/19 - 11/13/19), 11/7/19 , 11/13/19,81.6,27.9,21.9,31.9,5.2,6.9,7.1,100.8
