report_link,report_url,Marketedproduction,Dryproduction,NetCanadaimports,LNGpipelinedeliveries,Totalsupply,U.S. natural gas consumption - Gas Week,start,end,U.S.consumption,Power,Industrial,Residential/commercial,Mexicoexports,Pipelinefueluse/losses,LNGpipelinereceipts,Totaldemand
Russiasethaneproductionisexpectedtoincreasemorethanten-foldby2025,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2020/07_23/,101.4,89.7,4.5,0.2,94.4, (7/16/20 - 7/22/20), 7/16/20 , 7/22/20,70.6,41.3,20.4,8.9,5.6,5.6,3.7,85.5
Approximately5Bcf/dofnaturalgaspipelinecapacityhasenteredservicein2020,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2020/07_30/,101.5,89.8,4.4,0.2,94.4, (7/23/20 - 7/29/20), 7/23/20 , 7/29/20,71.3,41.6,20.7,9.0,5.6,5.6,3.2,85.7
HurricaneDeltasimpactsonU.S.LNGexportfacilitiesareminimal,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2020/10_15/,97.2,85.9,4.0,0.1,89.9, (10/8/20 - 10/14/20), 10/8/20 , 10/14/20,62.2,30.4,20.9,10.8,5.9,6.5,6.6,81.2
"AfterHurricaneLaura,CameronLNGremainsofflinebutSabinePassexportsresume",https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2020/10_01/,98.7,87.2,3.8,0.1,91.1, (9/24/20 - 9/30/20), 9/24/20 , 9/30/20,60.5,30.4,21.2,8.9,5.9,6.5,6.5,79.3
EIAforecastshigher-than-averageresidentialnaturalgasconsumptionthiswinter,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2020/10_22/,99.8,88.5,3.5,0.1,92.0, (10/15/20 - 10/21/20), 10/15/20 , 10/21/20,67.3,29.2,21.7,16.4,5.9,6.7,7.9,87.7
PlainsMidstreamCanadaentersintoanagreementtoexpandownershipinNorthAmericaslargestnaturalgasprocessingcenter,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2020/10_29/,98.5,87.3,4.6,0.1,92.0, (10/22/20 - 10/28/20), 10/22/20 , 10/28/20,72.1,28.9,22.4,20.7,5.8,6.8,9.0,93.6
"EIAforecastsincreasedconsumption,lowerproductionofpropaneinthewinterof202021",https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2020/10_08/,98.6,87.1,4.3,0.1,91.5, (10/1/20 - 10/7/20), 10/1/20 , 10/7/20,64.5,29.7,21.6,13.2,5.5,6.6,7.3,84.0
"Assolar-poweredgenerationincreasesinCalifornia,naturalgashelpsmeeteveningpeakdemand",https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2020/11_05/,100.1,89.1,5.0,0.1,94.2, (10/29/20 - 11/4/20), 10/29/20 , 11/4/20,73.0,25.2,22.9,24.9,5.4,6.9,10.1,95.5
Lower48statesworkingnaturalgasinundergroundstorageinventoriesattheendoftherefillseason(April1October31),https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2020/11_19/,101.9,90.6,5.0,0.1,95.8, (11/12/20 - 11/18/20), 11/12/20 , 11/18/20,75.6,25.5,23.2,27.0,5.5,7.1,10.2,98.3
HenryHubpricereaches$3.00forfirsttimesinceMarch2019,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2020/11_12/,99.7,88.4,3.4,0.1,91.9, (11/5/20 - 11/11/20), 11/5/20 , 11/11/20,62.2,24.0,22.0,16.2,5.4,6.6,10.2,84.4
NewpipelinecapacityintoNewEnglandincreasesdeliverabilityofnaturalgastoconstrainedmarket,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2020/12_03/,102.1,90.9,4.8,0.1,95.8,, 11/26/20 , 12/2/20,,,,,,,,
HurricaneLauraledtolessethaneconsumptionandarecordstockbuildinSeptember,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2020/12_10/,101.1,89.9,5.7,0.2,95.8, (12/3/20 - 12/9/20), 12/3/20 , 12/9/20,89.2,28.2,24.3,36.8,5.6,7.4,11.2,113.4
