report_link,report_url,Marketedproduction,Dryproduction,NetCanadaimports,LNGpipelinedeliveries,Totalsupply,U.S. natural gas consumption - Gas Week,start,end,U.S.consumption,Power,Industrial,Residential/commercial,Mexicoexports,Pipelinefueluse/losses,LNGpipelinereceipts,Totaldemand
IndiassixthLNGimportterminalcomesonline,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2020/02_27/,107.1,94.7,5.1,0.2,100.0, (2/20/20 - 2/26/20), 2/20/20 , 2/26/20,95.5,28.3,24.9,42.3,5.4,7.4,8.7,117.0
U.S.ethaneexportsrisein2019asChinareceivesitsfirstU.S.cargos,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2020/01_30/,107.4,94.4,4.8,0.2,99.4, (1/23/20 - 1/29/20), 1/23/20 , 1/29/20,96.0,28.5,24.4,43.1,5.6,7.4,9.2,118.1
Europeannaturalgasstoragelevelsarehigherthanaverage,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2020/02_20/,107.1,94.7,5.5,0.2,100.4, (2/13/20 - 2/19/20), 2/13/20 , 2/19/20,99.7,29.0,24.6,46.1,5.4,7.5,8.0,120.6
"SmithfieldbeginsrenewablenaturalgasproductionatitsTarHeel,NorthCarolinaporkprocessingplant",https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2020/01_23/,107.5,94.6,5.3,0.5,100.3, (1/16/20 - 1/22/20), 1/16/20 , 1/22/20,106.2,30.3,25.1,50.8,4.9,7.6,8.2,126.9
U.S.netnaturalgasexportsgrowthrough2021,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2020/01_16/,108.6,95.7,3.3,0.2,99.1, (1/9/20 - 1/15/20), 1/9/20 , 1/15/20,90.6,26.3,24.5,39.9,5.3,7.3,8.2,111.5
CrudeoilmarketconditionscontributingtohighernaturalgaspricesattheWahaHub,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2020/03_19/,106.7,94.8,4.1,0.1,99.0, (3/12/20 - 3/18/20), 3/12/20 , 3/18/20,83.5,30.3,25.9,27.3,5.6,7.0,8.0,104.1
Naturalgaspricesfalltolowestlevelsince2016andthelowestJanuarypricein20years,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2020/02_06/,106.7,94.4,5.0,0.3,99.7, (1/30/20 - 2/5/20), 1/30/20 , 2/5/20,92.5,27.9,24.2,40.4,5.4,7.3,9.3,114.6
Europeanconsortiumplanstotransporthydrogenviarepurposednaturalgaspipelines,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2020/12_17/,101.8,90.4,5.2,0.1,95.7, (12/10/20 - 12/16/20), 12/10/20 , 12/16/20,88.2,27.1,24.5,36.5,5.6,7.5,11.0,112.2
"HGLpricescollapsein2020,revealinghowpricingdynamicshavechangedsince2008",https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2020/04_09/,105.9,93.6,3.8,0.1,97.4, (4/2/20 - 4/8/20), 4/2/20 , 4/8/20,67.2,26.0,20.9,20.4,4.9,6.5,8.6,87.2
Lownaturalgaspricesandcapacityadditionsdrive2020powerburngrowthinthefirstquarter,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2020/03_26/,106.4,94.5,4.3,0.1,98.9, (3/19/20 - 3/25/20), 3/19/20 , 3/25/20,82.3,29.8,25.3,27.2,5.6,7.0,9.2,104.0
Naturalgasstockspostsmallestheatingseasonnetwithdrawalssince2015,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2020/04_16/,106.0,93.8,4.5,0.1,98.3, (4/9/20 - 4/15/20), 4/9/20 , 4/15/20,68.8,25.9,20.8,22.1,4.5,6.5,8.5,88.4
NorthDakotaprovidesregulatoryguidancetoreducenaturalgasflaring,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2020/02_13/,106.9,94.5,5.1,0.1,99.8, (2/6/20 - 2/12/20), 2/6/20 , 2/12/20,96.4,29.1,24.3,43.0,5.3,7.4,8.6,117.7
"Withwarmweather,U.S.residentialandcommercialnaturalgasconsumptiondownin2020",https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2020/04_02/,106.1,93.7,3.7,0.1,97.5, (3/26/20 - 4/1/20), 3/26/20 , 4/1/20,71.9,26.1,22.2,23.6,5.5,6.6,9.6,93.5
EIAsAnnualEnergyOutlookprojectscontinuinggrowthfornaturalgasplantliquids,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2020/03_12/,106.0,94.2,3.7,0.2,98.1, (3/5/20 - 3/11/20), 3/5/20 , 3/11/20,81.4,28.1,25.8,27.5,5.5,6.9,8.0,101.9
PipelinesplantoincreasenaturalgasdeliverabilityintoNewEnglandbyupgradingexistinginfrastructure,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2020/03_05/,106.4,94.6,4.6,0.2,99.4, (2/27/20 - 3/4/20), 2/27/20 , 3/4/20,90.3,29.8,26.0,34.5,5.5,7.2,8.1,111.2
"GlobalLNGtradesetsanotherrecordin2019,recordingthehighest-everannualgrowth",https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2020/04_23/,105.5,93.3,4.2,0.1,97.6, (4/16/20 - 4/22/20), 4/16/20 , 4/22/20,66.7,24.4,20.2,22.1,4.6,6.4,8.2,86.0
NaturalgassurpassescoalasprimarygenerationfuelinMISO,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2020/05_14/,103.2,91.8,4.2,0.1,96.0, (5/7/20 - 5/13/20), 5/7/20 , 5/13/20,67.3,24.0,22.0,21.3,4.7,6.2,7.1,85.3
Naturalgasrigcountfallstolowestlevelsince2016,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2020/04_30/,105.0,92.9,3.7,0.1,96.6, (4/23/20 - 4/29/20), 4/23/20 , 4/29/20,64.1,23.9,20.0,20.1,4.8,6.3,7.4,82.5
Polandseekstodiversifynaturalgasimports,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2020/05_21/,101.1,89.9,4.2,0.1,94.2, (5/14/20 - 5/20/20), 5/14/20 , 5/20/20,60.5,26.8,21.2,12.5,4.8,6.0,6.2,77.6
HigherWesternCanadaspotpriceslowerCanadasnaturalgasimportsintowesternUnitedStates,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2020/05_07/,103.4,91.8,3.5,0.1,95.4, (4/30/20 - 5/6/20), 4/30/20 , 5/6/20,57.9,25.4,19.5,13.0,4.5,6.1,7.7,76.2
NaturalgasdeliveriestoU.S.LNGexportfacilitiesdeclinetothelowestlevelsinceOctober2019,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2020/05_28/,100.3,89.2,4.2,0.1,93.5, (5/21/20 - 5/27/20), 5/21/20 , 5/27/20,60.4,29.0,20.9,10.6,4.7,6.0,6.0,77.1
EIAsupdatedStateEnergyDataSystemshowswhichstateshadthemostconsumptionandproductionin2018,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2020/07_09/,101.3,89.5,4.2,0.1,93.9,, 7/2/20 , 7/8/20,,,,,,,,
Naturalgas-firedpowergenerationhigherinfirsthalfof2020,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2020/07_16/,100.4,88.9,4.7,0.2,93.8, (7/9/20 - 7/15/20), 7/9/20 , 7/15/20,70.0,41.0,20.4,8.6,5.7,5.5,3.3,84.4
