report_link,report_url,Marketedproduction,Dryproduction,NetCanadaimports,LNGpipelinedeliveries,Totalsupply,U.S. natural gas consumption - Gas Week,start,end,U.S.consumption,Power,Industrial,Residential/commercial,Mexicoexports,Pipelinefueluse/losses,LNGpipelinereceipts,Totaldemand
ReducedpressureontheTexasEasternTransmissionlimitssouthboundcapacityfromtheAppalachiaBasin,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2021/06_17/,104.7,92.8,5.0,0.1,97.9, (6/10/21 - 6/16/21), 6/10/21 , 6/16/21,64.5,36.3,20.2,7.9,6.8,6.3,9.4,87.0
GrowthinglobalLNGtradewasflatin2020,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2021/07_01/,104.7,92.7,4.9,0.1,97.7, (6/24/21 - 6/30/21), 6/24/21 , 6/30/21,67.0,38.3,20.3,8.4,6.5,6.3,11.1,90.9
U.S.liquefiednaturalgasexportswereatrecordhighlevelsinthefirsthalfof2021,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2021/07_22/,105.0,92.9,5.0,0.1,98.0, (7/15/21 - 7/21/21), 7/15/21 , 7/21/21,66.7,38.6,20.3,7.9,6.3,6.3,10.4,89.8
U.S.naturalgasexportstoMexicoreachrecordhighsinJune2021,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2021/07_15/,104.9,92.9,5.2,0.1,98.1, (7/8/21 - 7/14/21), 7/8/21 , 7/14/21,65.7,37.3,20.5,7.9,6.5,6.3,10.8,89.3
TexasLegislatureRespondstoEnergyMarketDisruptionsFollowingHistoricWinterWeather,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2021/07_08/,103.8,92.0,5.0,0.1,97.1, (7/1/21 - 7/7/21), 7/1/21 , 7/7/21,64.3,36.1,20.2,8.1,6.3,6.2,10.9,87.8
JapanhighlightshydrogenpowerattheTokyo2020Olympicsandcontinuestodiversifyfuelsources,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2021/07_29/,104.5,92.6,5.6,0.1,98.3, (7/22/21 - 7/28/21), 7/22/21 , 7/28/21,69.1,40.8,20.0,8.3,6.3,6.4,10.7,92.6
PacificGasandElectricreportsreclassificationofworkinggaslevelsattheirnaturalgasstoragefacilitiesinNorthernCalifornia,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2021/06_24/,105.1,93.0,4.7,0.1,97.8, (6/17/21 - 6/23/21), 6/17/21 , 6/23/21,63.3,34.7,20.4,8.2,7.0,6.2,10.0,86.5
Ethaneexportssurgewithadditionalexportcapacityandexpandedtankerfleet,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2021/06_10/,105.5,93.3,4.6,0.1,98.0, (6/3/21 - 6/9/21), 6/3/21 , 6/9/21,64.5,35.4,20.3,8.7,6.5,6.3,9.4,86.6
ShalenaturalgasproductionintheAppalachianBasinsetsrecordsinfirsthalfof2021,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2021/09_02/,103.0,91.5,5.1,0.1,96.7, (8/26/21 - 9/1/21), 8/26/21 , 9/1/21,68.5,39.1,20.8,8.6,6.3,6.3,10.5,91.6
Higherpetrochemicaldemandforpropanetooutweighlowerdemandforgraindryingandspaceheatingthiswinter,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2021/08_19/,105.1,93.0,4.9,0.1,98.0, (8/12/21 - 8/18/21), 8/12/21 , 8/18/21,67.9,38.7,20.6,8.6,6.1,6.4,10.7,91.1
BrazilincreasesLNGimportsfromtheUnitedStatesamiditsworstdroughtinmorethan90years,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2021/08_05/,105.1,93.0,5.2,0.1,98.3, (7/29/21 - 8/4/21), 7/29/21 , 8/4/21,66.5,37.8,20.6,8.1,5.9,6.3,10.5,89.2
EIAexpectsbelow-averageU.S.naturalgasinventoriesenteringthewinterheatingseason,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2021/08_12/,105.1,92.9,4.9,0.1,97.9, (8/5/21 - 8/11/21), 8/5/21 , 8/11/21,68.1,38.8,20.6,8.7,6.2,6.4,9.9,90.6
"Naturalgas-firedpowerburnsetsJunerecord,drivingupspotpricesthissummer",https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2021/09_09/,102.2,91.0,4.5,0.1,95.5, (9/2/21 - 9/8/21), 9/2/21 , 9/8/21,62.0,33.0,20.9,8.1,5.8,6.0,10.9,84.7
"Associatednaturalgasproductiondeclinesin2020,followingthreeyearsofgrowth",https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2021/08_26/,105.9,93.7,5.1,0.1,98.9, (8/19/21 - 8/25/21), 8/19/21 , 8/25/21,68.9,39.7,20.5,8.6,6.0,6.5,10.5,91.8
"U.S.naturalgasconsumptiontobelowerin2021and2022,ledbytheelectricpowersector",https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2021/09_16/,103.8,92.3,4.8,0.1,97.2, (9/9/21 - 9/15/21), 9/9/21 , 9/15/21,63.6,34.1,21.0,8.4,5.5,6.2,10.4,85.6
HenryHubpricesremainhigherthanNortheasthubs,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2021/09_23/,104.1,92.5,4.9,0.1,97.4, (9/16/21 - 9/22/21), 9/16/21 , 9/22/21,63.1,33.0,21.2,8.8,5.7,6.2,9.8,84.8
Europesnaturalgasstorageinventoriesremainrelativelylowduringthe2021injectionseason,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2021/09_30/,104.1,92.4,5.5,0.1,98.0, (9/23/21 - 9/29/21), 9/23/21 , 9/29/21,59.5,28.7,21.5,9.3,5.6,6.1,10.1,81.3
2021industrialnaturalgasconsumptionontrendtoexceedthe5-yearaverage,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2021/10_07/,103.9,92.3,5.2,0.1,97.7, (9/30/21 - 10/6/21), 9/30/21 , 10/6/21,62.0,31.4,21.2,9.4,5.6,6.1,10.0,83.7
U.S.naturalgaspriceslikelytoremainelevatedthroughthewinter,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2021/10_14/,104.3,92.8,5.0,0.1,97.8, (10/7/21 - 10/13/21), 10/7/21 , 10/13/21,62.4,30.9,21.2,10.2,5.7,6.2,10.5,84.7
