report_link,report_url,Marketedproduction,Dryproduction,NetCanadaimports,LNGpipelinedeliveries,Totalsupply,U.S. natural gas consumption - Gas Week,start,end,U.S.consumption,Power,Industrial,Residential/commercial,Mexicoexports,Pipelinefueluse/losses,LNGpipelinereceipts,Totaldemand
GrowthinnaturalgasdemandinAsiaandlowstoragestocksinEuropeleadtorecord-highspotprices,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2021/10_21/,103.7,92.2,5.8,0.1,98.1, (10/14/21 - 10/20/21), 10/14/21 , 10/20/21,63.4,27.7,21.7,14.0,5.9,6.2,10.9,86.3
U.S.LNGexportsexceednaturalgasexportsbypipeline,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2021/02_04/,102.3,90.5,6.3,0.3,97.2, (1/28/21 - 2/3/21), 1/28/21 , 2/3/21,95.4,27.6,25.1,42.7,5.5,7.0,10.9,118.8
U.S.naturalgasproductionwilllikelyfallin2021andrisein2022,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2021/01_14/,101.9,90.3,6.0,0.2,96.5, (1/7/21 - 1/13/21), 1/7/21 , 1/13/21,94.4,29.4,25.0,40.0,5.5,7.7,10.8,118.4
Near-recordcoldtemperaturesdrivenear-recordwithdrawalsfromworkingnaturalgasstocksintheLower48states,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2021/02_25/,92.9,82.7,6.8,0.4,89.9, (2/18/21 - 2/24/21), 2/18/21 , 2/24/21,97.7,27.1,25.4,45.2,4.9,6.8,7.4,116.8
"Freeze-offscontributetolowernaturalgasproduction,highernaturalgasprices",https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2021/02_18/,88.7,79.5,7.4,0.5,87.4, (2/11/21 - 2/17/21), 2/11/21 , 2/17/21,110.8,31.7,27.5,51.6,4.9,7.0,6.2,128.9
Industrialsectornaturalgasconsumptionreturnstopre-pandemiclevels,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2021/01_28/,102.3,90.5,6.1,0.3,96.9, (1/21/21 - 1/27/21), 1/21/21 , 1/27/21,94.7,27.0,24.9,42.8,5.9,7.0,9.9,117.6
EIAexpectshigherwholesaleU.S.naturalgaspricesin2021and2022,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2021/01_21/,102.1,90.3,5.6,0.2,96.1, (1/14/21 - 1/20/21), 1/14/21 , 1/20/21,89.2,26.5,24.7,38.0,5.5,7.2,10.9,112.7
U.S.LNGexportscontinuedtogrowin2020,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2021/03_04/,102.9,91.1,4.6,0.1,95.8, (2/25/21 - 3/3/21), 2/25/21 , 3/3/21,84.2,25.4,24.2,34.6,5.5,6.8,9.8,106.2
Naturalgasplantliquidsproductiongrowsin2020ascrudeoilandnaturalgasproductiondecline,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2021/03_11/,102.8,90.9,4.8,0.1,95.7, (3/4/21 - 3/10/21), 3/4/21 , 3/10/21,80.2,24.9,24.0,31.2,5.7,6.6,10.6,103.0
Naturalgasgenerationislowercomparedwithayearago,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2021/05_06/,103.8,91.6,4.5,0.1,96.1, (4/29/21 - 5/5/21), 4/29/21 , 5/5/21,67.1,27.3,21.9,18.0,5.9,6.3,11.2,90.5
QatarPetroleummakesfinalinvestmentdecisiontoexpandRasLaffanLNGexportproject,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2021/03_25/,103.1,91.1,4.4,0.1,95.6, (3/18/21 - 3/24/21), 3/18/21 , 3/24/21,72.9,24.4,23.6,24.8,6.0,6.4,11.6,96.9
Drynaturalgasproductioncontinuestogrowfrompandemiclowsasrigcountalsoincreases,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2021/05_20/,103.9,91.8,4.5,0.1,96.4, (5/13/21 - 5/19/21), 5/13/21 , 5/19/21,58.2,26.4,21.4,10.4,6.1,6.1,10.3,80.6
EthaneaffectsgasqualityontheNorthernBorderpipeline,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2021/05_13/,103.9,91.8,4.8,0.1,96.7, (5/6/21 - 5/12/21), 5/6/21 , 5/12/21,65.4,26.0,22.1,17.4,6.2,6.2,11.2,89.1
Warmweatherandhighstoragelevelskeptnaturalgaspriceslowthiswinter,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2021/02_11/,102.1,90.3,6.0,0.2,96.5, (2/4/21 - 2/10/21), 2/4/21 , 2/10/21,98.9,26.9,25.9,46.0,5.7,7.2,11.0,122.8
Recentcompletionsofpipelineprojectsincreasenaturalgastransportationcapacity,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2021/03_18/,102.7,90.8,4.6,0.1,95.4, (3/11/21 - 3/17/21), 3/11/21 , 3/17/21,77.0,25.1,23.6,28.4,5.6,6.5,11.1,100.2
"Alaskaisamajornaturalgasproducer,butlittleofthenaturalgasreachesmarket",https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2021/05_27/,104.6,92.4,4.5,-0.2,96.7, (5/20/21 - 5/26/21), 5/20/21 , 5/26/21,59.9,30.5,20.7,8.6,6.2,6.1,10.5,82.7
NewinfrastructureincreasestakeawaycapacityoutofWestTexas,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2021/06_03/,104.9,92.6,3.9,0.1,96.6, (5/27/21 - 6/2/21), 5/27/21 , 6/2/21,60.6,27.9,20.9,11.8,6.4,6.1,10.9,84.0
