report_link,report_url,Grossproduction,Dryproduction,Canadianimports,West(net),Midwest(net),Northeast(net),LNGimports,Totalsupply,U.S. consumption - Gas Week,start,end,U.S.consumption,Power,Industrial,Residential/commercial,Totaldemand
"Coldtemperatures,lowpricesleadtorecord-highwinterpowerburn",https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2015/03_26/,8.90%,8.82%,17.90%,40.56%,-32.74%,61.82%,-21.52%,9.34%," (3/18/15 - 3/25/15)
", 3/18/15 ," 3/25/15
",-2.9%,14.9%,-3.7%,-11.6%,-2.5%
NaturalGasPricesat16-YearLow,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2015/12_17/,-0.90%,-0.90%,-18.41%,-3.48%,30.18%,-135.79%,308.01%,-2.03%," (12/9/15 - 12/16/15)
", 12/9/15 ," 12/16/15
",-11.3%,10.1%,-5.1%,-26.9%,-9.1%
"AsrecordsettingcoldblaststheEast,westerntemperatureswarmerthannormal",https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2015/02_26/,7.72%,7.65%,31.69%,40.18%,-23.10%,157.97%,355.96%,10.06%," (2/18/15 - 2/25/15)
", 2/18/15 ," 2/25/15
",42.6%,58.5%,5.9%,57.0%,42.6%
MATSRuleTakesEffect,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2015/04_23/,8.05%,7.98%,11.36%,33.28%,13.09%,-121.32%,-64.18%,8.07%," (4/15/15 - 4/22/15)
", 4/15/15 ," 4/22/15
",0.1%,26.4%,-3.4%,-17.3%,0.7%
U.S.LNGexportterminalsonthemovetowardscommercialoperations,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2015/04_16/,7.86%,7.79%,27.07%,36.14%,25.16%,-68.56%,-64.87%,8.76%," (4/8/15 - 4/15/15)
", 4/8/15 ," 4/15/15
",3.2%,17.7%,-1.8%,-4.8%,3.6%
"LedbygrowthinTexas,theSoutheast,andNortheast,powerburnisheadedforaJanuaryrecord",https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2015/01_29/,12.35%,12.23%,-19.13%,-0.73%,-43.54%,-18.22%,-15.82%,8.86%," (1/21/15 - 1/28/15)
", 1/21/15 ," 1/28/15
",-22.1%,-12.1%,-3.5%,-32.5%,-21.2%
Naturalgasstocksenterinjectionseason11%belowfive-yearaverage,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2015/04_09/,8.29%,8.21%,18.30%,28.35%,11.43%,-16.37%,-65.24%,8.67%," (4/1/15 - 4/8/15)
", 4/1/15 ," 4/8/15
",-1.9%,13.7%,-3.4%,-11.9%,-1.3%
PipelineinfrastructurekeytodeliveringU.S.-sourcednaturalgastomeetMexicosexpandingneeds,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2015/04_02/,8.50%,8.42%,32.00%,61.98%,0.29%,22.07%,-67.99%,9.55%," (3/25/15 - 4/1/15)
", 3/25/15 ," 4/1/15
",2.7%,23.2%,-3.7%,-4.2%,3.0%
NorthwestEuropedoublesLNGimportsaskeypricesconverge,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2015/05_07/,8.03%,7.96%,-5.32%,12.90%,-13.52%,-10572.22%,-70.28%,6.92%," (4/29/15 - 5/6/15)
", 4/29/15 ," 5/6/15
",-0.1%,13.9%,-2.1%,-13.8%,0.7%
AprilnaturalgasconsumptionforPacificNorthwestpowergenerationistripletheyear-agolevel,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2015/04_30/,9.33%,9.24%,10.75%,23.22%,-2.67%,-12.63%,-66.83%,9.22%," (4/22/15 - 4/29/15)
", 4/22/15 ," 4/29/15
",8.4%,16.4%,0.7%,8.4%,9.0%
Newchemicalplantsexpectedtoboostindustrialnaturalgasuseby4%in2015,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2015/05_21/,7.16%,7.10%,2.96%,28.81%,-12.71%,133.49%,-12.69%,6.78%," (5/13/15 - 5/20/15)
", 5/13/15 ," 5/20/15
",4.0%,22.3%,-2.5%,-9.8%,5.0%
"Rigcountisdown,but2015gasproductionforecasttogrowover2014levels",https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2015/05_14/,6.85%,6.79%,2.64%,22.23%,-13.86%,58.10%,-68.22%,6.41%," (5/6/15 - 5/13/15)
", 5/6/15 ," 5/13/15
",6.4%,16.0%,-1.0%,1.9%,7.8%
Largeweeklyadditionpushesnaturalgasstocksabovefive-yearaverage,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2015/06_04/,5.35%,5.30%,7.64%,32.55%,-2.91%,-10626.32%,9.60%,5.46%," (5/27/15 - 6/3/15)
", 5/27/15 ," 6/3/15
",1.6%,1.1%,0.5%,4.4%,2.4%
"Canada'sPacificNorthWestLNGexportprojectmovesclosertoafinaldecision,possiblynextmonth",https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2015/05_28/,5.96%,5.91%,10.05%,30.80%,-7.23%,6.81%,12.01%,6.19%," (5/20/15 - 5/27/15)
", 5/20/15 ," 5/27/15
",-0.8%,-5.0%,-0.6%,5.8%,0.3%
MarcellusethanemovesonestepclosertoEuropewithdeliveryofthefirstDragonclassliquidgascarrier,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2015/06_11/,5.94%,5.89%,24.02%,37.15%,22.67%,-4881.58%,-16.23%,6.96%," (6/3/15 - 6/10/15)
", 6/3/15 ," 6/10/15
",4.6%,14.7%,0.1%,-7.3%,5.1%
Naturalgasproductioncontinuestogrowyear-over-year,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2015/07_02/,4.82%,4.78%,15.70%,42.07%,11.10%,-354.39%,-27.17%,5.43%," (6/24/15 - 7/1/15)
", 6/24/15 ," 7/1/15
",3.1%,11.6%,-2.8%,-6.5%,4.6%
U.S.naturalgasexportstoMexicoinJunesetforrecordhighlevels,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2015/06_25/,5.50%,5.40%,11.00%,44.30%,3.00%,-158.50%,-6.30%,5.80%," (6/17/15 - 6/24/15)
", 6/17/15 ," 6/24/15
",8.5%,24.2%,-3.0%,-5.9%,9.6%
Northeasterntradingpointssetrecordlowprices,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2015/07_09/,5.40%,5.36%,16.90%,37.51%,13.77%,-321.03%,77.14%,6.23%," (7/1/15 - 7/8/15)
", 7/1/15 ," 7/8/15
",3.9%,11.3%,-2.9%,-1.5%,5.4%
EasternU.S.PowerBurnHigherThisYear,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2015/06_18/,5.12%,5.07%,19.36%,42.80%,16.81%,-178.40%,8.18%,5.97%," (6/10/15 - 6/17/15)
", 6/10/15 ," 6/17/15
",10.3%,30.7%,-2.1%,-7.0%,11.5%
RockiesExpressPipeline(REX)nearscompletionofZone3east-to-westreversal,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2015/07_23/,4.02%,3.98%,25.53%,25.53%,17.93%,NA,66.70%,5.39%," (7/15/15 - 7/22/15)
", 7/15/15 ," 7/22/15
",14.3%,36.9%,-2.9%,-4.7%,15.0%
"AsiaPacificimportsofLNGdownin2015onmildweather,lowerdemandforpowergeneration",https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2015/07_30/,4.88%,4.84%,15.57%,15.30%,14.29%,NA,7.70%,5.54%," (7/22/15 - 7/29/15)
", 7/22/15 ," 7/29/15
",6.8%,18.0%,-2.6%,-5.1%,7.5%
Naturalgaschallengescoalasfuelforpowergeneration,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2015/07_16/,5.38%,5.33%,15.30%,23.98%,12.26%,NA,50.04%,6.08%," (7/8/15 - 7/15/15)
", 7/8/15 ," 7/15/15
",8.5%,21.4%,-3.6%,-0.9%,9.8%
Texaspowerburnhitsrecordhighs,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2015/08_13/,4.01%,3.97%,-5.35%,21.89%,-26.02%,41.03%,185.89%,3.59%," (8/5/15 - 8/12/15)
", 8/5/15 ," 8/12/15
",6.1%,15.9%,-1.6%,-5.0%,6.6%
"InjectionsofnaturalgasintostoragesinceAprilare20%higherthanthefive-yearaverage(2010-14),buttraillastyear'srecord-highlevels",https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2015/08_06/,4.68%,4.64%,13.06%,16.34%,-0.85%,-109.50%,241.37%,5.52%," (7/29/15 - 8/5/15)
", 7/29/15 ," 8/5/15
",10.5%,25.9%,-2.7%,-3.8%,11.2%
JamaicainkscontracttogetLNGfromFlorida,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2015/08_20/,4.19%,4.15%,14.12%,24.84%,-6.52%,-110.73%,207.57%,5.10%," (8/12/15 - 8/19/15)
", 8/12/15 ," 8/19/15
",10.1%,23.2%,-1.6%,-1.2%,10.6%
Nuclearpowerrefuelingovernextfewmonthsmayincreasepowersectorgasconsumption,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2015/09_17/,2.95%,2.93%,1.03%,14.50%,-14.21%,-16.23%,282.48%,3.07%," (9/9/15 - 9/16/15)
", 9/9/15 ," 9/16/15
",0.5%,11.8%,-3.5%,-12.9%,1.7%
PipelineprojectsaimtoincreaseMarcellusandUticatakeawaycapacity,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2015/09_03/,3.77%,3.74%,2.01%,11.01%,-12.23%,-218.10%,146.09%,3.87%," (8/26/15 - 9/2/15)
", 8/26/15 ," 9/2/15
",3.8%,9.4%,-2.0%,-0.1%,4.6%
EIAprovideshistoricaldatafornewstorageregions,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2015/09_10/,4.18%,4.14%,0.20%,15.70%,-14.96%,333.33%,140.49%,4.09%," (9/2/15 - 9/9/15)
", 9/2/15 ," 9/9/15
",4.9%,15.5%,-3.5%,-5.6%,5.8%
NortheastproductionsetsrecordhighonMonday,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2015/08_27/,4.20%,4.20%,2.80%,21.20%,-21.80%,-124.90%,129.20%,4.30%," (8/19/15 - 8/26/15)
", 8/19/15 ," 8/26/15
",-0.5%,-0.8%,-1.8%,2.7%,0.8%
RussianandNorwegiannaturalgaspipelineexportstoEuropeincreaseoverthesummeramidlowerprices,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2015/09_24/,3.94%,3.91%,-0.56%,9.00%,-15.78%,-54.13%,N/A,3.73%," (9/16/15 - 9/23/15)
", 9/16/15 ," 9/23/15
",4.6%,17.4%,-4.3%,-4.6%,5.9%
U.S.NortheastnaturalgasexportstoCanadagrowing,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2015/10_01/,4.51%,4.47%,-5.61%,2.94%,-10.59%,54.96%,N/A,3.78%," (9/23/15 - 9/30/15)
", 9/23/15 ," 9/30/15
",4.0%,13.7%,-2.8%,-3.3%,5.5%
IncreasingU.S.naturalgaspipelineexportstoMexicobegintograduallydisplaceLNG,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2015/10_22/,2.43%,2.41%,-2.17%,1.34%,-21.27%,N/A,80.56%,2.14%," (10/14/15 - 10/21/15)
", 10/14/15 ," 10/21/15
",8.2%,14.4%,-1.1%,10.9%,9.6%
Naturalgasheatingbillsexpectedtobelowerthiswinter,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2015/10_08/,3.72%,3.69%,-5.75%,5.25%,-22.47%,-58.24%,N/A,3.00%," (9/30/15 - 10/7/15)
", 9/30/15 ," 10/7/15
",0.4%,2.9%,-2.1%,-0.2%,1.9%
NationalFuelGasaddsnewgasflowsoutofMarcellus/Uticathisweek,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2015/10_15/,2.74%,2.72%,-4.48%,7.14%,-19.34%,-52.65%,N/A,2.27%," (10/7/15 - 10/14/15)
", 10/7/15 ," 10/14/15
",0.6%,11.8%,-3.1%,-10.6%,2.2%
U.S.MaritimeAdministrationapprovesfirstfederalgrantforLNGuseinmaritimeapplications,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2015/12_10/,-0.47%,-0.47%,-6.29%,6.20%,7.34%,-71.83%,45.72%,-0.84%," (12/2/15 - 12/9/15)
", 12/2/15 ," 12/9/15
",-3.0%,12.6%,-2.3%,-12.3%,-1.6%
"World'sfirstLNG-poweredcontainership,theIslaBellaoftheMarlinclass,beginsservice",https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2015/10_29/,1.54%,1.52%,-2.34%,0.91%,-33.04%,-394.14%,239.49%,1.43%," (10/21/15 - 10/28/15)
", 10/21/15 ," 10/28/15
",7.3%,14.8%,-0.2%,6.5%,8.6%
Workingnaturalgasinstoragebreaksrecord,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2015/11_12/,0.83%,0.83%,-7.14%,-6.79%,-18.45%,107.09%,211.74%,0.41%," (11/4/15 - 11/11/15)
", 11/4/15 ," 11/11/15
",2.3%,30.8%,-3.8%,-13.2%,3.4%
